,Race,Date,deaths
477,White,2015-06-14,1
478,White,2015-06-03,1
479,White,2015-06-02,1
480,White,2015-06-01,1
481,White,2015-05-21,1
482,White,2015-05-12,1
483,White,2015-01-02,1
484,Hispanic,2015-07-17,1
485,Other,2015-12-13,1
486,Black,2015-04-01,1
487,Black,2015-02-15,1
488,Black,2015-02-18,1
489,Black,2015-02-22,1
490,Black,2015-02-23,1
491,Black,2015-02-26,1
492,Black,2015-03-02,1
493,Black,2015-03-03,1
494,Black,2015-03-05,1
495,Black,2015-03-08,1
496,Black,2015-03-11,1
497,Black,2015-03-12,1
498,Black,2015-03-17,1
499,Black,2015-03-20,1
500,Black,2015-03-22,1
501,Black,2015-03-23,1
502,Black,2015-02-11,1
503,Black,2015-02-10,1
504,Black,2015-02-06,1
505,Asian,2015-11-30,1
506,Asian,2015-04-22,1
507,Asian,2015-05-05,1
508,Asian,2015-07-02,1
509,Asian,2015-09-09,1
510,Asian,2015-09-10,1
511,Asian,2015-10-11,1
512,Black,2015-01-08,1
513,Black,2015-01-27,1
514,Black,2015-01-16,1
515,Black,2015-01-20,1
516,Black,2015-01-21,1
517,Black,2015-01-22,1
518,Black,2015-01-23,1
519,Black,2015-01-24,1
520,Black,2015-03-28,1
521,Black,2015-04-06,1
522,Other,2015-11-04,1
523,Black,2015-04-12,1
524,Black,2015-06-06,1
525,Black,2015-06-08,1
526,Black,2015-06-13,1
527,Black,2015-06-14,1
528,Black,2015-06-15,1
529,Black,2015-06-25,1
530,Black,2015-07-01,1
531,Black,2015-07-02,1
532,Black,2015-07-06,1
533,Black,2015-07-11,1
534,Black,2015-07-12,1
535,Black,2015-07-13,1
536,Black,2015-07-14,1
537,Black,2015-07-19,1
538,Black,2015-07-23,1
539,Black,2015-06-04,1
540,Black,2015-05-31,1
541,Black,2015-05-29,1
542,Black,2015-04-28,1
543,Black,2015-04-14,1
544,Black,2015-04-16,1
545,Black,2015-04-19,1
546,Black,2015-04-21,1
547,Black,2015-04-24,1
548,Black,2015-04-25,1
549,Black,2015-04-30,1
550,Black,2015-05-26,1
551,Black,2015-05-03,1
552,Black,2015-05-07,1
553,Black,2015-05-10,1
554,Black,2015-05-16,1
555,Black,2015-05-19,1
556,Black,2015-05-23,1
557,Asian,2015-04-08,1
558,Asian,2015-03-04,1
559,Asian,2015-03-01,1
560,Asian,2015-02-01,1
561,,2015-03-30,1
562,,2015-03-31,1
563,,2015-04-01,1
564,,2015-04-08,1
565,,2015-04-09,1
566,,2015-04-12,1
567,,2015-04-23,1
568,,2015-05-06,1
569,,2015-05-07,1
570,,2015-05-09,1
571,,2015-05-10,1
572,,2015-05-14,1
573,,2015-05-19,1
574,,2015-05-27,1
575,,2015-05-28,1
576,,2015-03-22,1
577,,2015-03-21,1
578,,2015-03-18,1
579,,2015-02-09,1
580,,2015-01-16,1
581,,2015-01-21,1
582,,2015-01-25,1
583,,2015-01-26,1
584,,2015-02-05,1
585,,2015-02-08,1
586,,2015-02-12,1
587,,2015-03-15,1
588,,2015-02-13,1
589,,2015-02-16,1
590,,2015-02-17,1
591,,2015-02-22,1
592,,2015-02-25,1
593,,2015-03-10,1
594,,2015-06-01,1
595,,2015-06-13,1
596,,2015-06-23,1
597,,2015-10-29,1
598,,2015-10-05,1
599,,2015-10-06,1
600,,2015-10-13,1
601,,2015-10-15,1
602,,2015-10-16,1
603,,2015-10-28,1
604,,2015-12-02,1
605,,2015-10-02,1
606,,2015-12-12,1
607,,2015-12-13,1
608,,2015-12-24,1
609,,2015-12-30,1
610,Asian,2015-01-16,1
611,Asian,2015-01-28,1
612,,2015-10-04,1
613,,2015-09-24,1
614,,2015-07-12,1
615,,2015-08-25,1
616,,2015-07-16,1
617,,2015-07-24,1
618,,2015-07-28,1
619,,2015-08-09,1
620,,2015-08-10,1
621,,2015-08-12,1
622,,2015-08-28,1
623,,2015-09-18,1
624,,2015-08-29,1
625,,2015-09-01,1
626,,2015-09-07,1
627,,2015-09-09,1
628,,2015-09-10,1
629,,2015-09-16,1
630,Black,2015-07-26,1
631,Black,2015-07-29,1
632,Black,2015-08-03,1
633,Hispanic,2015-05-19,1
634,Hispanic,2015-08-07,1
635,Hispanic,2015-08-09,1
636,Hispanic,2015-08-12,1
637,Hispanic,2015-08-15,1
638,Hispanic,2015-08-16,1
639,Hispanic,2015-08-17,1
640,Hispanic,2015-08-19,1
641,Hispanic,2015-08-27,1
642,Hispanic,2015-08-28,1
643,Hispanic,2015-09-03,1
644,Hispanic,2015-09-04,1
645,Hispanic,2015-09-06,1
646,Hispanic,2015-09-07,1
647,Hispanic,2015-09-26,1
648,Hispanic,2015-09-28,1
649,Hispanic,2015-08-06,1
650,Hispanic,2015-08-05,1
651,Hispanic,2015-08-04,1
652,Hispanic,2015-06-26,1
653,Hispanic,2015-06-05,1
654,Hispanic,2015-06-14,1
655,Hispanic,2015-06-15,1
656,Hispanic,2015-06-16,1
657,Hispanic,2015-06-21,1
658,Hispanic,2015-06-22,1
659,Hispanic,2015-07-01,1
660,Hispanic,2015-08-01,1
661,Hispanic,2015-07-05,1
662,Hispanic,2015-07-06,1
663,Hispanic,2015-07-16,1
664,,2015-01-15,1
665,Hispanic,2015-07-18,1
666,Hispanic,2015-07-20,1
667,Hispanic,2015-10-07,1
668,Hispanic,2015-10-10,1
669,Hispanic,2015-10-14,1
670,Native,2015-09-07,1
671,Native,2015-01-06,1
672,Native,2015-03-19,1
673,Native,2015-04-04,1
674,Native,2015-06-16,1
675,Native,2015-07-12,1
676,Native,2015-07-16,1
677,Native,2015-09-08,1
678,Hispanic,2015-12-19,1
679,Native,2015-09-24,1
680,Other,2015-05-03,1
681,Other,2015-05-27,1
682,Other,2015-07-16,1
683,Other,2015-07-20,1
684,Other,2015-09-21,1
685,Hispanic,2015-12-24,1
686,Hispanic,2015-12-18,1
687,Hispanic,2015-10-16,1
688,Hispanic,2015-11-14,1
689,Hispanic,2015-10-17,1
690,Hispanic,2015-10-20,1
691,Hispanic,2015-10-24,1
692,Hispanic,2015-10-30,1
693,Hispanic,2015-11-12,1
694,Hispanic,2015-11-13,1
695,Hispanic,2015-11-20,1
696,Hispanic,2015-12-13,1
697,Hispanic,2015-11-22,1
698,Hispanic,2015-11-23,1
699,Hispanic,2015-11-30,1
700,Hispanic,2015-12-01,1
701,Hispanic,2015-12-05,1
702,Hispanic,2015-12-12,1
703,Hispanic,2015-05-30,1
704,Hispanic,2015-05-12,1
705,Black,2015-08-04,1
706,Hispanic,2015-05-03,1
707,Black,2015-09-30,1
708,Black,2015-10-04,1
709,Black,2015-10-05,1
710,Black,2015-10-09,1
711,Black,2015-10-11,1
712,Black,2015-10-12,1
713,Black,2015-10-18,1
714,Black,2015-10-19,1
715,Black,2015-10-20,1
716,Black,2015-10-29,1
717,Black,2015-10-31,1
718,Black,2015-11-11,1
719,Black,2015-11-12,1
720,Black,2015-11-14,1
721,Black,2015-11-20,1
722,Black,2015-09-29,1
723,Black,2015-09-28,1
724,Black,2015-09-26,1
725,Black,2015-08-28,1
726,Black,2015-08-08,1
727,Black,2015-08-09,1
728,Black,2015-08-17,1
729,Black,2015-08-22,1
730,Black,2015-08-23,1
731,Black,2015-08-25,1
732,Black,2015-08-31,1
733,Black,2015-09-25,1
734,Black,2015-09-06,1
735,Black,2015-09-10,1
736,Black,2015-09-13,1
737,Black,2015-09-16,1
738,Black,2015-09-22,1
739,Black,2015-09-24,1
740,Black,2015-11-24,1
741,Black,2015-11-30,1
742,Black,2015-12-02,1
743,Hispanic,2015-03-31,1
744,Hispanic,2015-02-28,1
745,Hispanic,2015-03-05,1
746,Hispanic,2015-03-12,1
747,Hispanic,2015-03-14,1
748,Hispanic,2015-03-26,1
749,Hispanic,2015-03-27,1
750,Hispanic,2015-04-08,1
751,Hispanic,2015-02-10,1
752,Hispanic,2015-04-15,1
753,Hispanic,2015-04-16,1
754,Hispanic,2015-04-17,1
755,Hispanic,2015-04-18,1
756,Hispanic,2015-04-23,1
757,Hispanic,2015-04-30,1
758,Hispanic,2015-02-24,1
759,Hispanic,2015-02-08,1
760,Black,2015-12-06,1
761,Hispanic,2015-01-03,1
762,Black,2015-12-07,1
763,Black,2015-12-09,1
764,Black,2015-12-14,1
765,Black,2015-12-23,1
766,Black,2015-12-31,1
767,Hispanic,2015-01-01,1
768,Hispanic,2015-01-05,1
769,Hispanic,2015-02-03,1
770,Hispanic,2015-01-09,1
771,Hispanic,2015-01-15,1
772,Hispanic,2015-01-16,1
773,Hispanic,2015-01-21,1
774,Hispanic,2015-01-23,1
775,Hispanic,2015-01-25,1
776,White,2015-12-28,1
