,id_x,identifier,title,classification_x,subject,session_identifier,jurisdiction,organization_classification,bill_id,id_y,organization_id,description,date,classification_y,order
33580,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,HB 1491,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,9faaf2a2-da8a-47e4-aba4-33616c5a12a7,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
33581,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,HB 1491,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,04dc1377-a6dc-4f0d-adc2-3015ad82b8c9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
104693,ocd-bill/98056e17-cd66-4c60-9eb4-749347a18ae5,HB 1487,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/98056e17-cd66-4c60-9eb4-749347a18ae5,d436ad1e-4278-4277-be0e-ddc165f9bf2e,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
23283,ocd-bill/94e8f0a4-4852-4efd-8b6f-32f7ed81641e,HB 1453,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/94e8f0a4-4852-4efd-8b6f-32f7ed81641e,c45b1ed5-86b0-465a-a8bb-5ca28e36dc2c,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
72756,ocd-bill/80271df1-b9e3-433b-b985-0ee3bef7359e,HB 1478,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/80271df1-b9e3-433b-b985-0ee3bef7359e,f57b3147-304a-4cdc-97f2-a6fe25f27dcc,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
72755,ocd-bill/80271df1-b9e3-433b-b985-0ee3bef7359e,HB 1478,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/80271df1-b9e3-433b-b985-0ee3bef7359e,b9c5cf05-5564-4c44-b430-0457ab93be59,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
23282,ocd-bill/94e8f0a4-4852-4efd-8b6f-32f7ed81641e,HB 1453,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/94e8f0a4-4852-4efd-8b6f-32f7ed81641e,59606b6d-37ce-43a7-af58-db2a8a9c2bfe,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
129962,ocd-bill/1806897f-a118-4a4e-b5d0-04d7586900dd,HB 1463,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/1806897f-a118-4a4e-b5d0-04d7586900dd,5d48e461-38c4-4a31-bb6c-21f10a4d0174,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
66280,ocd-bill/da0653f8-1ffa-4016-9eab-bee0a61863c7,HB 1452,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/da0653f8-1ffa-4016-9eab-bee0a61863c7,6cabe78b-1687-4e2a-a4f5-f681ee8c0b78,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,House Floor Amendment No. 1 Filed with Clerk by Rep. William Davis,2021-04-20,['amendment-introduction'],6
20429,ocd-bill/101f2dec-108c-4974-8708-f7d2fff675b8,HB 1472,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/101f2dec-108c-4974-8708-f7d2fff675b8,78259b27-3ded-4cc1-bc42-ee730d08f794,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"House Floor Amendment No. 2 Filed with Clerk by Rep. Lawrence Walsh, Jr.",2021-04-20,['amendment-introduction'],15
